sort,year,siteid,lat,long,epareg,huc8,era,strorder,doc,no3,tn,tp,area,elev,forest,wetland,urban,ag,roads,pop,shrub,precip,k,mg,na,nh4,no2,sio2,so4,tss,turb,ph,cl,ca,anc,al,cond,ansum,catsum,co3,h,oh,dic,hco3,se,zn
20,2008,WNVP99-0514,41.71522014,-115.2289633,9,17040213,Year2008,2nd,1,0.00363,119,28.8438,37.40840149,2482.94,36.67,0.178,0.029,0,0.439,0,63.123,,1.192,2.547,1.944,0.001,0,14.565,4,1.2,1.03,7.94,0.46,14.5,938.25,5.00E-04,107.3,,,,,,,,,
21,2008,WNVP99-0570,38.32750793,-114.2774604,9,15010013,Year2008,1st,0.62,0.44778,658,23.4713,1.742740035,2458.45,61.622,0,0,0,0,0,38.378,,1.924,5.171,15.84,0.004,0,40.905,7.95,19.8,4.63,8.29,21.23,26.04,1669.52,0.0031,264.4,,,,,,,,,
22,2008,WNVP99-0674,41.80682461,-115.7046045,9,17050102,Year2008,3rd,1.45,0,105,31.54,16.6996994,2114.59,5.692,0,0,0,1.012,0,94.308,,2.474,12.95,8.215,0.002,0,21.198,15.15,0.8,1.27,8.31,4.68,73.68,4884.46,3.00E-04,489.3,,,,,,,,,
23,2008,WNVP99-0556,41.21398709,-116.3987168,9,16040106,Year2008,3rd,3.27,0.01204,482,134.94,14.47049999,1976.28,0.006,0.211,0,0,0,0,99.783,,6.394,7.371,13.92,0.023,0.00336,48.117,9.87,6.9,5.39,8.6,3.87,15.42,1764.63,0.0135,213.8,,,,,,,,,
24,2008,WNVP99-0620,41.92147277,-119.4433402,9,17120008,Year2008,2nd,1.22,1.04716,1296,30.745,9.799500465,1890.38,0,0.147,0,0,0.285,0,99.853,,1.96,1.52,9.883,0.004,0,33.467,6.07,10.1,11.8,7.72,4.78,4.481,514.15,0.0188,92.43,,,,,,,,,
25,2008,FW08NV014,40.74129868,-115.5543686,9,16040103,Year2008,2nd,1.22,0.19585,293,29.761,20.89100075,2424.76,22.185,3.645,5.1,4.859,0.621,21.303,57.466,,1.016,5.009,18.36,0.003,NA,30.042,12.56,4,1.44,8.29,4.26,37.46,2843.04,3.00E-04,307.6,,,,,,,,,
26,2008,FW08NV015,41.01579472,-116.0832885,9,16040101,Year2008,2nd,3.56,0,346,284.1338,3.567960024,2066.83,17.588,0,0,0,0,0,82.412,,7.465,5.888,24.82,0.004,0,55.264,21.32,12.8,7.64,8.12,11.66,16.32,1651.39,0.0029,255.6,,,,,,,,,
27,2008,FW08NV019,40.70240853,-116.5235212,9,16040105,Year2008,7th,2.3,0,256,23.51,15741.09961,1875.51,5.51,1.7,0.978,2.18,0.426,2.377,89.355,,8.495,12.71,47.24,0.007,0,19.387,41.94,9.3,2.77,8.58,21.41,36.91,3518.25,0.0025,490.82,,,,,,,,,
28,2008,FW08NV019,40.70240853,-116.5235212,9,16040105,Year2008,7th,1.8,0,271,19.2163,15741.09961,NA,NA,NA,NA,NA,NA,NA,NA,,10.12,13.93,54.21,0.005,0,28.446,53.03,4.3,5.11,8.63,26.94,38.76,3688.57,0.0049,538.62,,,,,,,,,
29,2008,FW08NV022,41.77179727,-117.8060453,9,16040201,Year2008,6th,8.92,0,690,174.9388,2500.639893,1675.83,0.465,1.512,0.484,0.485,0.532,0.23,96.762,,7.201,11.81,52.88,0.014,0,52.111,25.04,6.7,6.06,8.55,21.48,37.39,4027.78,0.0035,486.6,,,,,,,,,
30,2008,FW08NV026,41.3973601,-117.4646693,9,16040109,Year2008,6th,5.12,0.13965,913,308.615,2648.439941,1697.73,0.465,0.411,0.061,0.726,0.338,0.006,98.145,,8.902,5.548,45.47,0.015,0.00158,42.34,27.43,124.4,123,8.23,21.29,28.07,2761.08,3.00E-04,388.8,,,,,,,,,
31,2008,FW08NV028,41.40884387,-118.9109046,9,16040202,Year2008,4th,2.49,0.00124,251,103.0988,50.32310104,2049.85,0.027,0.023,0,0,0,0,99.903,,3.853,4.266,13.52,0.005,0,45.901,7.22,14.2,8.06,8.26,5.99,9.666,1301.18,0.0026,156.9,,,,,,,,,
32,2008,FW08NV029,39.21428861,-114.5413454,9,16060008,Year2008,3rd,0.8,0.06962,185,36.4075,82.77269745,2703.59,61.844,0.099,0,0,0.292,0,29.37,,0.301,0.759,1.147,0.005,0,7.033,1.69,4.2,3.34,7.46,0.39,4.613,313.43,0.0101,38.83,,,,,,,,,
33,2008,FW08NV031,40.81470323,-115.8061406,9,16040101,Year2008,7th,13.52,0,1120,88.44,7496.430176,1910.54,3.883,1.853,1.165,2.946,0.462,3.09,90.034,,27.01,54.85,527.3,0.03,0,27.007,647.8,7.6,6.97,8.41,528.04,114.2,6004.6,3.00E-04,3291,,,,,,,,,
34,2008,FW08NV032,36.6417447,-114.5318165,9,15010012,Year2008,7th,0.92,0.2079,280,14.5688,15404.2998,1513.57,19.945,0.274,0.511,0.689,0.239,0.369,77.997,,15.32,45.68,153.5,0.004,0,33.046,395.52,50.2,29.6,8.39,103.28,97.22,4584.44,0.0025,1465,,,,,,,,,
35,2008,FW08NV033,38.85858259,-115.6673318,9,16060012,Year2008,4th,0.67,0,168,34.2513,470.3080139,1902.9,11.23,0.036,0.35,0.927,0.248,0.051,87.397,,8.004,23.43,33,0.001,0,31.366,49.12,31.2,14.8,8.51,8.32,51.06,4949.23,3.00E-04,554.8,,,,,,,,,
36,2008,FW08NV034,40.91002543,-117.9097195,9,16040108,Year2008,7th,2.91,0.00411,434,133.4188,30340.40039,1762.72,3.926,2.06,0.899,2.507,0.409,1.828,90.025,,8.665,13.14,61.29,0.005,0,31.231,51.06,111.8,65.79,8.48,29.83,50.02,4375.31,3.00E-04,594.54,,,,,,,,,
37,2008,FW08NV035,40.68600234,-116.7624855,9,16040105,Year2008,6th,13.83,0.05671,1232,54.8063,2945.320068,1713.68,1.099,2.287,0.179,1.109,0.249,0.021,93.996,,11.4,14.42,82.44,0.049,0,7.789,50.3,9.9,6.25,9.16,30.1,23.96,3977.36,0.0163,574.5,,,,,,,,,
38,2008,FW08NV037,41.87729618,-115.6285161,9,17050102,Year2008,4th,1.7,0.0053,196,35.8325,776.1939697,2065.1,4.343,0.832,0.473,0.029,0.256,0.005,94.307,,1.383,1.469,3.772,0.004,0,15.773,3.01,7.8,4.57,7.86,0.73,11.87,835.45,0.0066,98.35,,,,,,,,,
39,2008,FW08NV038,41.9957489,-117.7707249,9,16040201,Year2008,5th,12.01,0,786,156.95,579.0079956,1793.5,0.501,0.811,0,0.039,0.474,0.009,98.534,,3.431,12.81,51.79,0.017,0,52.448,22.63,1.7,1.33,8.46,17.63,32.79,3834.79,0.0015,458.7,,,,,,,,,
40,2008,FW08NV049,38.8505517,-116.6048621,9,16060005,Year2008,1st,1.17,0.00036,617,123.6519,1.404000044,2913.73,85.833,0,0,0,0,0,14.167,,1.293,0.402,5.301,0.003,0,39.508,1.66,37.5,7.71,7.71,0.61,4.811,468.17,0.3555,50.25,,,,,,,,,
41,2008,FW08NV040,39.08215943,-119.7573042,9,16050201,Year2008,5th,5.4,0.00553,519,197.6075,1851.920044,2095.9,26.009,2.201,3.065,4.475,0.738,14.309,62.24,,4.808,9.904,26.25,0.016,0.00053,22.633,33.47,6.3,5.8,8.09,9.06,30.02,2374.84,0.0025,327.4,,,,,,,,,
42,2008,FW08NV050,40.41024065,-118.3154415,9,16040108,Year2008,7th,5.63,0.01902,584,100.4963,32403.5,1744.44,3.812,1.994,0.882,2.361,0.416,1.725,90.183,,18.5,21.94,144.4,0.017,0,32.532,99.05,21,29.2,8.71,107.81,43.24,5344.23,3.00E-04,1036.56,,,,,,,,,
43,2008,FW08CA044,41.48963055,-120.6045859,9,18020002,Year2008,6th,7.96,0,1056,469.99,2821.600098,1680.6,27.201,1.272,0.974,6.372,1.161,1.663,60.835,,4.971,8.099,30.18,0.015,0,28.582,11.49,27.4,34.27,8.8,7.98,18.31,2434.68,0.0041,283.14,,,,,,,,,
44,2008,FW08NV051,40.64965565,-116.7790317,9,16040105,Year2008,7th,2.26,0,243,27.7113,15841.2002,1873.35,5.476,1.781,0.986,2.175,0.43,2.365,89.306,,8.522,13.62,49.31,0.007,0,20.155,43.96,13.6,6.12,8.63,22.45,40.87,3757.23,0.001,517.71,,,,,,,,,
45,2008,FW08NV053,41.95776506,-115.863833,9,17050102,Year2008,1st,2.8,0,233,47.7663,7.226099968,2200.02,14.958,0,0,0,1.044,0,85.042,,2.432,3.033,6.112,0.006,0,37.841,2.42,6,5.2,8.07,2.19,15.54,1235.78,0.0061,140.4,,,,,,,,,
46,2008,FW08NV054,41.27385024,-118.4605996,9,16040201,Year2008,1st,1.15,0.01778,639,153.9725,7.536600113,2266.15,17.913,1.302,0,0,0,0,80.786,,1.588,8.018,21.15,0.013,0,18.545,12.47,138.1,48.4,8.6,11.36,40.21,3275.3,0.0041,347.9,,,,,,,,,
47,2008,FW08NV056,39.20075374,-119.6299202,9,16050202,Year2008,5th,5.53,0,494,154.7088,2144.810059,2032.78,23.419,1.978,5.11,3.983,1.026,38.733,63.733,,5.197,9.116,32.85,0.017,0,23.405,49.93,2.6,3.14,8.39,12.25,33.98,2589.93,0.0025,399.6,,,,,,,,,
48,2008,FW08CA059,40.00190523,-121.2682255,9,18020121,Year2008,6th,1.3,0.00389,154,11.7113,4471.259766,1639.59,73.677,0.859,1.148,0.66,1.886,3.616,20.332,,1.374,5.412,4.738,0.012,0,16.632,0.79,3.4,3.66,8.13,0.91,10.54,1189.36,3.00E-04,117.94,,,,,,,,,
49,2008,FW08NV057,41.13161753,-115.4997593,9,16040102,Year2008,6th,4.25,0.00361,396,132.5113,2311.75,1947.4,0.542,1.543,0.387,0.08,0.332,0.042,97.407,,10.56,15.35,41.84,0.011,0,47.788,51.5,2.2,1.62,8.13,15.52,49.06,4157.9,3.00E-04,540.39,,,,,,,,,
50,2008,FW08NV058,40.78824389,-117.0442313,9,16040105,Year2008,7th,2.47,0,311,68.1388,19564.80078,1836.7,4.626,2.194,0.868,2.059,0.406,1.946,89.774,,8.043,11.98,48.08,0.006,0,20.575,43.27,67.4,38.74,8.62,22,38.99,3518.16,3.00E-04,483.89,,,,,,,,,
51,2008,FW08NV041,41.32039998,-115.657142,9,16040102,Year2008,6th,7.23,0,630,114.7138,1419.150024,1969,0.878,2.244,0.573,0.102,0.374,0.067,96.138,,7.256,14.99,25.5,0.015,0,27.197,32.17,4.4,6.28,8.54,8.74,41.65,3730.26,0.0266,428,,,,,,,,,
52,2008,FW08NV039,41.77125165,-117.3829874,9,16040109,Year2008,4th,2.13,0.00093,213,62.84,90.37999725,2075.54,0.577,0.062,0,0,0.941,0,99.307,,2.376,1.369,7.664,0.005,0,30.48,6.24,7.7,5.09,7.67,2.79,5.088,583.42,0.0228,79.69,,,,,,,,,
53,2008,FW08NV062,41.00564814,-117.3393351,9,16040105,Year2008,7th,2.56,0,323,81.22,23978.40039,1801.98,4.809,2.169,0.856,2.164,0.392,1.765,89.469,,7.878,11.6,50.32,0.008,0,22.473,43.05,54.9,40.61,8.6,23.9,40.69,3702.8,3.00E-04,506.75,,,,,,,,,
54,2008,FW08NV063,40.394948,-116.1206756,9,16040104,Year2008,5th,0.93,0,166,24.3888,1865.560059,1889.7,14.295,0.498,0.207,0.674,0.277,0.026,84.3,,2.992,19.98,39.88,0.008,0,22.854,40.1,9.2,6.39,8.97,25.1,27.93,3401.95,0.0072,453.7,,,,,,,,,
55,2008,FW08NV065,38.78147873,-117.3401678,9,16040107,Year2008,3rd,1.01,0.00226,107,25.7963,22.22069931,2936.21,42.624,0.223,0,0,0,0,57.007,,0.746,0.531,5.42,0.002,0,26.504,1.35,2.6,1.93,7.59,0.7,3.731,426.3,0.0091,47.32,,,,,,,,,
56,2008,FW08NV066,40.69720892,-118.1006986,9,16040108,Year2008,7th,2.41,0,328,81.5581,30847.59961,1758.03,3.915,2.062,0.895,2.475,0.413,1.801,90.077,,9.657,14.37,71.5,0.004,0,33.817,65.3,96.2,35.07,8.57,43.09,47.25,4254.91,3.00E-04,655.78,,,,,,,,,
57,2008,FW08NV069,41.88666095,-114.6866143,9,17040213,Year2008,6th,1.68,0,284,50.5525,2341.870117,NA,NA,NA,NA,NA,NA,NA,NA,,8.683,6.561,18.21,NA,0,53.064,19.41,20.5,10.8,8.43,8.32,30.97,2490.56,0.0012,316.49,,,,,,,,,
58,2008,FW08CA020,41.31852852,-123.5279597,9,18010209,Year2008,6th,3.13,0.01299,488,82.6238,29282.09961,1385.35,50.7,2.037,1.896,7.341,1.48,3.202,34.836,,1.814,7.167,9.568,0.014,0,26.585,5.81,1.8,5.29,8.31,4.57,14.04,1518.02,8.00E-04,174.73,,,,,,,,,
59,2008,FW08CA031,38.81627171,-123.0111924,9,18010110,Year2008,5th,1.79,0.00242,159,40.875,1606.400024,NA,NA,NA,NA,NA,NA,NA,NA,,1.052,8.913,6.519,0.008,0,10.444,7.95,3.9,4.65,8.3,4.46,21.13,1776.62,0.0046,200.09,,,,,,,,,
60,2008,FW08CA035,38.80836238,-121.6352071,9,18020106,Year2008,6th,1.11,0.02642,136,24.3725,15780.90039,1221.1,62.418,0.91,3.051,6.764,1.869,19.12,24.201,,0.897,4.193,4.108,0.019,0,14.396,3.12,0,3.4,8.02,2.28,9.712,910.28,0.0116,105.97,,,,,,,,,
61,2008,FW08CA040,41.53926058,-123.5267321,9,18010209,Year2008,6th,3.49,0.05781,594,102.2213,27045.19922,1398.15,48.055,2.204,1.897,7.949,1.495,3.447,36.494,,1.987,7.721,11.07,0.017,0,29.114,6.01,1.4,3.72,8.37,5.38,13.8,1585.76,0.002,184.7,,,,,,,,,
62,2008,FW08CA056,41.45639606,-123.9355648,9,18010209,Year2008,7th,1.9,0.00143,269,41.8088,38656.89844,1306.88,56.997,1.55,2.068,5.57,1.522,2.876,31.057,,1.263,7.358,7.324,0.009,0,20.39,5.79,2.2,3.87,8.32,4.09,15.25,1489.02,3.00E-04,169.99,,,,,,,,,
63,2008,FW08CA061,37.59637606,-121.1287613,9,18040002,Year2008,6th,2.18,1.92284,2343,173.2,4915.080078,1467.52,37.12,0.556,3.486,6.375,1.065,41.551,40.98,,3.464,7.604,17.76,0.025,0.01489,20.498,10.1,9.2,4.36,8.12,19.69,17.34,1560.04,0.0139,261.37,,,,,,,,,
64,2008,FW08CA063,40.31843895,-123.771013,9,18010105,Year2008,7th,0.62,0.00078,69,3.5038,5787.759766,904.746,53.661,0.063,2.995,0.26,1.304,2.925,42.439,,1.245,7.998,5.97,0.003,0,8.806,22.84,0.9,2.63,8.31,5.31,35.76,1986.54,3.00E-04,255.05,,,,,,,,,
65,2008,FW08CA067,38.57234221,-121.3577452,9,18020111,Year2008,6th,1.15,0.00237,114,11.4575,4977.109863,1294.41,66.05,0.361,4.737,0.045,2.226,50.19,25.925,,0.674,1.668,2.417,0.006,0,10.378,1.94,0.4,3.26,7.68,2.1,4.779,401.98,0.0062,53.11,,,,,,,,,
66,2008,FW08CA068,41.84331069,-122.8997348,9,18010206,Year2008,6th,4.67,0.44455,1183,166.5375,22427.69922,1442.26,44.979,2.649,1.633,8.859,1.473,3.819,37.913,,2.328,7.235,12.56,0.024,0.01076,38.156,5.89,2,3.82,8.44,5.17,11.75,1504.8,0.0095,179.18,,,,,,,,,
67,2008,WORP99-0748,43.64952824,-124.0956116,10,17100303,Year2008,2nd,2.61,0.13368,422,33.5975,6.208260059,118.559,58.783,0.681,4.768,0,1.27,3.778,35.768,,1.205,2.007,7.76,0.055,0,18.263,1.65,2.4,4.56,7.25,7.73,5.191,547.8,0.0205,88.69,,,,,,,,,
68,2008,WORP99-0662,45.36811658,-119.446251,10,17070104,Year2008,3rd,3.34,0.19943,866,293.6513,79.31600189,991.9,0.454,0.881,0.765,2.243,0.755,0.374,95.658,,2.562,12.14,32.94,0.055,0.00088,49.921,7.93,125.6,34.8,7.78,5.84,30.15,3567.16,3.00E-04,371.18,,,,,,,,,
69,2008,WORP99-0947,44.62318544,-119.6383494,10,17070201,Year2008,2nd,1.58,1.06641,1314,53.9375,19.2696991,1334.94,29.525,0,0.388,0.504,0.224,0,69.582,,1.748,18.3,32.13,0.01,0,38.263,12.5,0.9,0.81,8.37,5.06,40.2,4385.55,3.00E-04,451.98,,,,,,,,,
70,2008,WORP99-0745,44.89842988,-117.4241613,10,17050203,Year2008,2nd,1.79,0.07922,211,88.8413,23.82180023,1255.95,25.939,0.888,0,0,1.232,0.587,73.173,,2.846,10.11,10.18,0.008,0,43.2,12.83,1.8,1.81,8.14,1.27,18.1,1767.11,0.0054,203.1,,,,,,,,,
71,2008,WORP99-0885,43.87510264,-123.5025807,10,17100206,Year2008,1st,1.92,0.0258,199,28.965,325.1679993,292.419,59.382,1.623,5.652,4.754,1.188,2.048,28.304,,1.023,1.893,5.212,0.017,0,16.167,0.54,3.4,4.28,7.45,7.68,5.678,450.52,0.0095,74.69,,,,,,,,,
72,2008,WORP99-0667,45.11449914,-116.8564475,10,17060102,Year2008,1st,1.02,0.00337,44,12.7788,4.315499783,1616.36,80.73,0,3.545,0,3.087,0,15.725,,0.839,1.337,2.267,0.001,0,27.601,0.4,0,0.09,7.35,0.08,4.053,406.01,0.0062,42.08,,,,,,,,,
73,2008,WORP99-0879,45.30045298,-123.4774717,10,17100203,Year2008,1st,0.41,0.05805,119,14.8975,6.377399921,694.45,79.665,0,0.635,0,0.191,0,19.701,,0.246,1.832,4.875,0.009,0,18.938,1.34,0.8,0.296,7.99,3.91,5.863,548.26,0.0014,69.98,,,,,,,,,
74,2008,FW08OR010,43.09695281,-122.4115116,10,17100301,Year2008,1st,0.69,0.00144,124,27.7413,2.836800098,1674.6,88.071,0,0,0,0.689,0,11.58,,0.165,0.661,1.792,0.007,0,13.542,0.47,15.8,4.38,7.26,0.14,3.992,329.76,0.0016,29.43,,,,,,,,,
75,2008,FW08OR015,42.41324015,-123.1579741,10,17100308,Year2008,5th,1.13,0.0642,300,72.4588,5637.640137,1045.54,61.408,0.391,4.025,6.905,1.776,29.98,26.068,,1.231,2.347,4.309,0.075,0.01435,28.052,1.03,3.9,4.4,7.89,1.42,6.08,644.43,0.015,71.71,,,,,,,,,
76,2008,FW08OR016,44.49070934,-122.8137154,10,17090006,Year2008,5th,0.62,0.0066,95,13.1913,1643.869995,756.185,72.141,0.015,1.249,2.433,1.734,7.601,22.785,,0.303,0.776,1.994,0.008,0.00071,11.316,0.96,0.5,0.83,7.64,0.79,3.286,292.46,0.0042,30.97,,,,,,,,,
77,2008,FW08OR016,44.49070934,-122.8137154,10,17090006,Year2008,5th,0.59,0.00282,48,4.5038,1643.869995,NA,NA,NA,NA,NA,NA,NA,NA,,0.257,0.82,1.94,0.005,0,10.628,1.01,1.8,3.23,7.46,0.79,3.347,276.25,0.0089,33.69,,,,,,,,,
78,2008,FW08OR019,44.37292269,-123.8363474,10,17100205,Year2008,5th,1.15,0.07527,236,11.555,838.5780029,323.279,79.418,0.786,5.771,1.778,1.411,1.498,12.159,,0.592,1.718,5.206,0.016,0,14.872,1.39,0.7,1.115,7.91,4.3,4.541,472.88,0.0098,63.86,,,,,,,,,
79,2008,FW08OR022,43.31057123,-123.2115221,10,17100301,Year2008,5th,0.57,0,77,36.9706,3225.219971,1072.73,83.888,0.019,0.536,0.785,1.454,1.162,13.978,,1.046,1.662,4.205,0.007,0,26.276,1.17,0.8,0.75,8.33,1.45,5.209,555.34,0.0029,61.13,,,,,,,,,
80,2008,FW08OR027,44.06547124,-123.1063463,10,17090003,Year2008,6th,0.99,0.00945,91,16.0206,5193.009766,869.404,75.803,0.525,2.039,3.536,1.523,14.669,15.811,,0.529,1.37,2.647,0.013,0,15.817,0.89,1.4,4.14,7.59,1.04,4.471,416.33,0.028,47.7,,,,,,,,,
81,2008,FW08OR035,44.80638327,-123.9729588,10,17100204,Year2008,5th,0.78,0.19023,289,9.4638,702.5239868,344.519,57.016,1.158,5.966,1.284,1.702,3.813,34.248,,0.476,1.361,4.698,0.016,0.0211,53.83,2.19,0.8,0.85,7.74,4.34,3.963,365.76,0.0074,57.39,,,,,,,,,
82,2008,FW08OR043,43.61498688,-122.7664621,10,17090002,Year2008,2nd,0.65,0.10865,210,27.5025,4.406879902,926.922,89.123,0,0,0,0.963,0,10.877,,0.764,2.034,3.806,0.007,0.00065,16.105,0.97,5.1,4.01,7.71,1.14,7.518,664.64,0.0058,73.85,,,,,,,,,
83,2008,FW08OR044,44.75269237,-122.5140529,10,17090005,Year2008,5th,0.39,0.00521,103,8.93,1356.910034,1068.95,79.671,0.021,1.068,0.485,1.193,2.57,15.8,,0.346,0.809,2.071,0.005,0,15.661,0.45,1.1,3.19,7.69,0.67,3.251,310.65,0.0046,30.35,,,,,,,,,
84,2008,FW08OR047,42.07214556,-124.0083463,10,18010101,Year2008,1st,1.21,0.05892,141,17.2244,4.508250237,NA,NA,NA,NA,NA,NA,0,NA,,0.352,0.615,2.424,0.006,0,7.204,0.86,4.2,4.05,7.73,2.33,1.571,166.59,0.0074,26.68,,,,,,,,,
85,2008,FW08OR050,43.1011809,-122.8297464,10,17100302,Year2008,1st,0.36,0.01308,34,17.695,8.149499893,966.901,84.892,0,0,0,2.333,0,15.108,,0.578,1.995,5.686,0.007,0,16.353,3.27,0,2.68,7.79,4.99,10.88,804.16,0.0022,105.68,,,,,,,,,
